,Date,Month,Personal Consumption Expenditure (billions of usd),Core CPI (index 1982-1984=100),Unemployment (%),Supply (thousand barrels per day),Imports (thousand barrels per day),Production (thousand barrels per day),Price of Barrel (usd),Staggered Price of Barrel
0,1990-11-16,11-1990,3871.9,138.0,6.2,16588,5637,6910,31.5,30.69
1,1990-11-23,11-1990,3871.9,138.0,6.2,17019,5610,7440,30.69,32.32
2,1990-11-30,11-1990,3871.9,138.0,6.2,15686,4532,7235,32.32,27.72
3,1990-12-07,12-1990,3861.3,138.6,6.3,17753,5007,6996,27.72,26.39
4,1990-12-14,12-1990,3861.3,138.6,6.3,16901,5236,7474,26.39,27.56
5,1990-12-21,12-1990,3861.3,138.6,6.3,16669,5445,7245,27.56,27.21
6,1990-12-28,12-1990,3861.3,138.6,6.3,17953,4468,7559,27.21,26.38
7,1991-01-04,01-1991,3841.0,139.5,6.4,17319,5536,7481,26.38,27.55
8,1991-01-11,01-1991,3841.0,139.5,6.4,15968,4866,7475,27.55,26.85
9,1991-01-18,01-1991,3841.0,139.5,6.4,17171,5053,7461,26.85,24.08
10,1991-01-25,01-1991,3841.0,139.5,6.4,16699,5122,7219,24.08,21.41
11,1991-02-01,02-1991,3866.7,140.2,6.6,16246,6212,7477,21.41,21.3
12,1991-02-08,02-1991,3866.7,140.2,6.6,16801,5542,7463,21.3,22.12
13,1991-02-15,02-1991,3866.7,140.2,6.6,16067,5527,7427,22.12,19.38
14,1991-02-22,02-1991,3866.7,140.2,6.6,15627,4934,7415,19.38,18.73
15,1991-03-01,03-1991,3913.0,140.5,6.8,15414,4983,7404,18.73,19.86
16,1991-03-08,03-1991,3913.0,140.5,6.8,16997,5430,7394,19.86,19.89
17,1991-03-15,03-1991,3913.0,140.5,6.8,16982,4912,7412,19.89,20.3
18,1991-03-22,03-1991,3913.0,140.5,6.8,16914,5388,7385,20.3,19.58
19,1991-03-29,03-1991,3913.0,140.5,6.8,16408,5279,7383,19.58,19.63
20,1991-04-05,04-1991,3907.1,140.9,6.7,17481,5454,7356,19.63,20.89
21,1991-04-12,04-1991,3907.1,140.9,6.7,16344,6290,7334,20.89,21.48
22,1991-04-19,04-1991,3907.1,140.9,6.7,15888,4663,7370,21.48,21.19
23,1991-04-26,04-1991,3907.1,140.9,6.7,15799,5418,7346,21.19,21.23
24,1991-05-03,05-1991,3933.2,141.3,6.9,16054,5294,7295,21.23,21.69
25,1991-05-10,05-1991,3933.2,141.3,6.9,15995,6471,7303,21.69,20.95
26,1991-05-17,05-1991,3933.2,141.3,6.9,16306,5895,7280,20.95,21.04
27,1991-05-24,05-1991,3933.2,141.3,6.9,15273,6177,7336,21.04,21.21
28,1991-05-31,05-1991,3933.2,141.3,6.9,16357,6633,7323,21.21,20.63
29,1991-06-07,06-1991,3940.5,141.8,6.9,16226,6958,7301,20.63,19.84
30,1991-06-14,06-1991,3940.5,141.8,6.9,16519,6093,7359,19.84,20.08
31,1991-06-21,06-1991,3940.5,141.8,6.9,17076,5937,7338,20.08,20.21
32,1991-06-28,06-1991,3940.5,141.8,6.9,17242,7128,7377,20.21,20.8
33,1991-07-05,07-1991,3966.0,142.3,6.8,17363,4904,7383,20.8,21.43
34,1991-07-12,07-1991,3966.0,142.3,6.8,15446,5984,7365,21.43,21.91
35,1991-07-19,07-1991,3966.0,142.3,6.8,16948,6589,7348,21.91,21.4
36,1991-07-26,07-1991,3966.0,142.3,6.8,16092,5773,7355,21.4,21.46
37,1991-08-02,08-1991,3969.1,142.9,6.9,16672,5780,7342,21.46,21.5
