Date,Weekly U.S. Field Production of Crude Oil  (Thousand Barrels per Day)
7-Jan-83,8634
14-Jan-83,8634
21-Jan-83,8634
28-Jan-83,8634
4-Feb-83,8660
11-Feb-83,8660
18-Feb-83,8660
25-Feb-83,8660
4-Mar-83,8677
11-Mar-83,8677
18-Mar-83,8677
25-Mar-83,8677
1-Apr-83,8677
8-Apr-83,8686
15-Apr-83,8686
29-Apr-83,8686
13-May-83,8682
20-May-83,8682
3-Jun-83,8676
10-Jun-83,8676
17-Jun-83,8676
24-Jun-83,8676
1-Jul-83,8676
8-Jul-83,8647
15-Jul-83,8647
22-Jul-83,8647
29-Jul-83,8647
5-Aug-83,8653
12-Aug-83,8653
19-Aug-83,8653
26-Aug-83,8653
2-Sep-83,8666
9-Sep-83,8666
16-Sep-83,8666
23-Sep-83,8666
30-Sep-83,8666
7-Oct-83,8654
14-Oct-83,8654
21-Oct-83,8654
28-Oct-83,8654
4-Nov-83,8624
11-Nov-83,8624
18-Nov-83,8624
25-Nov-83,8624
2-Dec-83,8612
9-Dec-83,8612
16-Dec-83,8612
23-Dec-83,8612
30-Dec-83,8612
6-Jan-84,8659
13-Jan-84,8659
20-Jan-84,8659
27-Jan-84,8659
3-Feb-84,8726
10-Feb-84,8726
17-Feb-84,8726
24-Feb-84,8726
2-Mar-84,8718
9-Mar-84,8718
16-Mar-84,8718
23-Mar-84,8718
30-Mar-84,8718
6-Apr-84,8688
13-Apr-84,8688
20-Apr-84,8688
27-Apr-84,8688
4-May-84,8753
11-May-84,8753
18-May-84,8753
25-May-84,8753
1-Jun-84,8743
8-Jun-84,8743
15-Jun-84,8743
22-Jun-84,8743
29-Jun-84,8743
6-Jul-84,8769
13-Jul-84,8769
20-Jul-84,8769
27-Jul-84,8769
3-Aug-84,8781
10-Aug-84,8781
17-Aug-84,8781
24-Aug-84,8781
31-Aug-84,8781
7-Sep-84,8759
14-Sep-84,8759
21-Sep-84,8759
28-Sep-84,8759
5-Oct-84,8847
12-Oct-84,8847
19-Oct-84,8847
26-Oct-84,8847
2-Nov-84,8846
9-Nov-84,8846
16-Nov-84,8846
23-Nov-84,8846
30-Nov-84,8846
7-Dec-84,8797
14-Dec-84,8797
21-Dec-84,8797
28-Dec-84,8797
4-Jan-85,8929
11-Jan-85,8929
18-Jan-85,8929
25-Jan-85,8929
1-Feb-85,8928
8-Feb-85,8928
15-Feb-85,8928
22-Feb-85,8928
1-Mar-85,8927
8-Mar-85,8927
15-Mar-85,8927
22-Mar-85,8927
29-Mar-85,8927
5-Apr-85,8842
12-Apr-85,8842
19-Apr-85,8842
26-Apr-85,8842
3-May-85,8969
10-May-85,8969
17-May-85,8969
24-May-85,8969
31-May-85,8969
7-Jun-85,8965
14-Jun-85,8965
21-Jun-85,8965
28-Jun-85,8965
5-Jul-85,8904
12-Jul-85,8904
19-Jul-85,8904
26-Jul-85,8904
2-Aug-85,8895
9-Aug-85,8895
16-Aug-85,8895
23-Aug-85,8895
30-Aug-85,8895
6-Sep-85,8874
13-Sep-85,8874
20-Sep-85,8874
27-Sep-85,8874
4-Oct-85,8943
11-Oct-85,8943
18-Oct-85,8943
25-Oct-85,8943
1-Nov-85,8932
8-Nov-85,8932
15-Nov-85,8932
22-Nov-85,8932
29-Nov-85,8932
6-Dec-85,8930
13-Dec-85,8930
20-Dec-85,8930
27-Dec-85,8930
3-Jan-86,8942
10-Jan-86,8942
17-Jan-86,8942
24-Jan-86,8942
31-Jan-86,8942
7-Feb-86,8940
14-Feb-86,8940
21-Feb-86,8940
28-Feb-86,8939
7-Mar-86,8939
14-Mar-86,8939
21-Mar-86,8939
28-Mar-86,8939
4-Apr-86,8815
11-Apr-86,8815
18-Apr-86,8815
25-Apr-86,8815
2-May-86,8805
9-May-86,8805
16-May-86,8805
23-May-86,8805
30-May-86,8805
6-Jun-86,8792
13-Jun-86,8792
20-Jun-86,8792
27-Jun-86,8792
4-Jul-86,8737
11-Jul-86,8737
18-Jul-86,8737
25-Jul-86,8737
1-Aug-86,8737
8-Aug-86,8708
15-Aug-86,8708
22-Aug-86,8708
29-Aug-86,8708
5-Sep-86,8671
12-Sep-86,8671
19-Sep-86,8671
26-Sep-86,8671
3-Oct-86,8773
10-Oct-86,8773
17-Oct-86,8773
24-Oct-86,8773
31-Oct-86,8773
7-Nov-86,8321
14-Nov-86,8321
21-Nov-86,8321
28-Nov-86,8321
5-Dec-86,8348
12-Dec-86,8348
19-Dec-86,8348
26-Dec-86,8348
2-Jan-87,8353
9-Jan-87,8354
16-Jan-87,8354
23-Jan-87,8354
30-Jan-87,8354
6-Feb-87,8383
13-Feb-87,8383
20-Feb-87,8383
27-Feb-87,8383
6-Mar-87,8336
13-Mar-87,8336
20-Mar-87,8336
27-Mar-87,8336
3-Apr-87,8361
10-Apr-87,8361
17-Apr-87,8361
24-Apr-87,8361
1-May-87,8361
8-May-87,8296
15-May-87,8296
22-May-87,8296
29-May-87,8296
5-Jun-87,8303
12-Jun-87,8303
19-Jun-87,8303
26-Jun-87,8303
3-Jul-87,8287
10-Jul-87,8287
17-Jul-87,8287
24-Jul-87,8287
31-Jul-87,8287
7-Aug-87,8204
14-Aug-87,8204
21-Aug-87,8204
28-Aug-87,8204
4-Sep-87,8162
11-Sep-87,8162
18-Sep-87,8162
25-Sep-87,8162
2-Oct-87,8281
9-Oct-87,8281
16-Oct-87,8281
23-Oct-87,8281
30-Oct-87,8281
6-Nov-87,8283
13-Nov-87,8283
20-Nov-87,8283
27-Nov-87,8283
4-Dec-87,8348
11-Dec-87,8348
18-Dec-87,8348
25-Dec-87,8348
1-Jan-88,8348
8-Jan-88,8395
15-Jan-88,8395
22-Jan-88,8395
29-Jan-88,8395
5-Feb-88,8353
12-Feb-88,8353
19-Feb-88,8353
26-Feb-88,8353
4-Mar-88,8306
11-Mar-88,8306
18-Mar-88,8306
25-Mar-88,8306
1-Apr-88,8306
8-Apr-88,8269
15-Apr-88,8269
22-Apr-88,8269
29-Apr-88,8269
6-May-88,8240
13-May-88,8240
20-May-88,8240
27-May-88,8240
